cluster,price,brokered_by
528,7595000.0,11209
529,15485000.0,54751
530,19500000.0,97166
531,12500000.0,83006
532,2632500.0,46699
533,3700000.0,97166
534,3500000.0,3386
535,1950000.0,3267
536,4699000.0,88897
537,1300000.0,47759
538,4995000.0,59296
539,2200000.0,20008
540,6400000.0,70543
541,6750000.0,67221
542,1532000.0,67223
543,6250000.0,73623
544,2195000.0,93027
545,2500000.0,91810
546,7500000.0,96781
547,3500000.0,47458
548,4150000.0,14287
549,10250000.0,11600
550,10995000.0,21423
551,4424000.0,49928
552,5999000.0,98951
553,3750000.0,11584
554,8650000.0,40349
555,3780000.0,18404
556,4950000.0,93026
557,1937000.0,68297
558,3950000.0,64927
559,3000000.0,42045
560,4100000.0,59500
561,7249000.0,26448
562,9950000.0,9142
563,14400000.0,93026
564,4495000.0,70397
565,11899000.0,97327
566,6500000.0,47458
567,2999999.0,70397
568,2850000.0,11204
569,4500000.0,9479
570,9000000.0,79453
571,5970000.0,53586
572,1950000.0,7710
573,15485000.0,50148
574,6950000.0,3025
575,5500000.0,78885
576,3148764.0,78025
577,9000000.0,47458
578,5100000.0,62770
579,2750000.0,47458
580,5000000.0,54752
581,2850000.0,47458
582,9000000.0,46699
583,2750000.0,76174
584,3900000.0,54403
585,3000000.0,23928
586,5890000.0,54034
587,3999900.0,73516
588,2600488.0,6780
589,3995000.0,70714
590,4700000.0,85276
591,2875000.0,47759
592,7500000.0,52916
593,3295000.0,54023
594,3890000.0,15677
595,4499999.0,94553
596,8200000.0,73110
597,3150000.0,36877
598,2450000.0,43775
599,3400000.0,72290
600,7000000.0,76485
601,4000000.0,34689
602,4416000.0,93027
603,2495000.0,37298
604,5800000.0,49695
605,4725000.0,87768
606,4099000.0,20008
607,16000000.0,28196
608,7400000.0,23928
609,4900000.0,65143
610,12000000.0,20415
611,2850000.0,15677
612,6750000.0,32959
613,3279000.0,38521
614,5800000.0,72222
615,6950000.0,673
616,12900000.0,94767
617,12500000.0,20415
618,22950000.0,9493
619,11000000.0,93027
620,2100000.0,43906
621,2850000.0,57949
622,3700000.0,72963
623,3398000.0,79464
624,6850000.0,1100
625,4200000.0,97327
626,30000000.0,54284
627,4261400.0,90128
628,6100000.0,9478
629,7850000.0,20502
630,15900000.0,97127
631,8100000.0,2847
632,2250000.0,9509
633,50000000.0,46699
634,15500000.0,9771
635,3675000.0,66502
636,4999950.0,79453
637,5000000.0,97219
638,3500000.0,1100
639,8150000.0,98951
640,8200000.0,16445
641,24000000.0,55834
642,11950000.0,27007
643,6250000.0,46699
644,26000000.0,97165
645,1249000.0,56333
646,4250000.0,495
647,8500000.0,9477
648,4700000.0,46699
649,3500000.0,71323
650,11000000.0,46699
651,5998000.0,70397
652,8500000.0,28514
653,7400000.0,20978
654,3600000.0,48291
655,6250000.0,17520
656,4850000.0,62443
657,3500000.0,48421
658,2250000.0,60945
659,4200000.0,28196
660,4795000.0,56646
661,12000000.0,81640
662,3900000.0,55062
663,2550000.0,32626
664,4250000.0,85501
665,3352800.0,75576
666,2800000.0,9477
667,3395000.0,63670
668,17000000.0,99154
669,4650000.0,93026
670,7300000.0,20415
671,6300000.0,39166
672,10450000.0,673
673,2490000.0,97127
674,6875000.0,90735
675,14750000.0,81231
676,12000000.0,81684
677,6500000.0,46699
678,4995000.0,7314
679,7200000.0,52903
680,63815000.0,19374
681,3999993.0,52234
682,27500000.0,89804
683,2120000.0,73623
684,10000000.0,6780
685,4500000.0,9497
686,3800000.0,82543
687,4000000.0,10205
688,6500999.0,70714
689,4000000.0,97219
690,2995000.0,94163
691,9500000.0,64436
692,3875000.0,97202
693,5498000.0,1842
694,2600000.0,47458
695,2200000.0,23791
696,3100000.0,70483
697,5000000.0,86485
698,7250000.0,53707
699,17000000.0,67955
700,5200000.0,43265
701,4000000.0,60945
702,2950000.0,47458
703,7900000.0,13865
704,25000000.0,95122
705,4995000.0,70543
706,2655000.0,90302
707,3500000.0,9470
708,110000000.0,3242
709,3750000.0,83006
710,2500000.0,93026
711,7195000.0,98674
712,7250000.0,60945
713,2975000.0,26393
714,7950000.0,73623
715,4800000.0,10177
716,29900000.0,9296
717,12100000.0,49333
718,2795000.0,22679
719,5350000.0,47458
720,24950000.0,28897
721,7180000.0,71323
722,4500000.0,32959
723,2900000.0,87476
724,3650000.0,26981
725,5900000.0,43248
726,22500000.0,94553
727,1450000.0,47458
728,3249000.0,47458
729,4600000.0,20761
730,12800000.0,47458
731,7891000.0,20350
732,10500000.0,30061
733,2200000.0,73265
734,15800000.0,70397
735,12750000.0,91255
736,8650000.0,91810
737,7500000.0,17363
738,2900000.0,20008
739,2900000.0,27264
740,12888000.0,20457
741,2995000.0,673
742,6760000.0,97127
743,18995000.0,76714
744,4198000.0,26926
745,3625000.0,21379
746,14995000.0,30445
747,10800000.0,47759
748,3840000.0,9143
749,8480000.0,30445
750,4850000.0,1439
751,2550000.0,51492
752,4448000.0,20350
753,6150000.0,30600
754,1660000.0,75588
755,14750000.0,9479
756,3500000.0,3267
757,5475000.0,61284
758,3250000.0,36661
759,3200000.0,30445
760,7200000.0,37643
761,7775000.0,55404
762,2800000.0,47458
763,3750000.0,68287
764,3999888.0,47362
765,15000000.0,13808
766,4500000.0,60522
767,3150000.0,93026
768,4750000.0,98906
769,16000000.0,27179
770,1625000.0,79153
771,3250000.0,46744
772,18900000.0,27179
773,3600000.0,88897
774,6000000.0,46699
775,5800000.0,30445
776,4500000.0,33448
777,5079000.0,61282
778,21750000.0,9504
779,13475000.0,55956
780,2100000.0,74496
781,3500000.0,20008
782,2250000.0,30251
783,7200000.0,55399
784,6795000.0,673
785,3800000.0,73516
786,6995000.0,3267
787,15500000.0,46699
788,5250000.0,43766
789,17200000.0,28196
790,4250000.0,89804
791,7500000.0,46699
792,4750000.0,57569
793,15000000.0,8931
794,2500000.0,83006
795,3950000.0,97127
796,13500000.0,15115
797,23495000.0,82543
798,9995000.0,7253
799,4195000.0,47458
800,109000000.0,20415
801,9995000.0,20591
802,1902611.0,55521
803,2550000.0,69407
804,2185000.0,69407
805,2975000.0,52903
806,5750000.0,11584
807,4350000.0,47228
808,5750000.0,31264
809,6400000.0,83006
810,3950000.0,93544
811,11000000.0,97218
812,8500000.0,38726
813,4800000.0,83006
814,5600000.0,20358
815,3650000.0,53836
816,3500000.0,93026
817,3960000.0,26984
818,14800000.0,90396
819,3777000.0,15356
820,6950000.0,9411
821,3350000.0,60615
822,2000000.0,17868
823,26000000.0,27179
824,6522000.0,47458
825,1850000.0,97168
826,5750000.0,98951
827,2940000.0,70483
828,6900000.0,46699
829,13900000.0,97127
830,6250000.0,38763
831,2100000.0,91255
832,4375000.0,34790
833,3900000.0,20502
834,2102000.0,67221
835,4000000.0,84152
836,7900000.0,69996
837,5000000.0,26981
838,3500000.0,55052
839,5800000.0,65143
840,1850000.0,16074
841,1600000.0,57949
842,4490000.0,16074
843,5742000.0,47458
844,5500000.0,20498
845,6225000.0,47458
846,1999000.0,55630
847,2498000.0,78885
848,7400000.0,3025
849,2028000.0,69742
850,2788000.0,17525
851,2475000.0,43280
852,4950000.0,64599
853,8950000.0,53612
854,20000000.0,97179
855,3995000.0,72290
856,5995000.0,65378
857,4000000.0,84926
858,3300000.0,27179
859,15000000.0,49877
860,15000000.0,79692
861,2450000.0,77533
862,8995000.0,20415
863,4900000.0,67221
864,16750000.0,73076
865,4950000.0,47458
866,3950000.0,47458
867,5400000.0,73519
868,7975000.0,11209
869,5800000.0,47458
870,5200000.0,39536
871,14900000.0,70291
872,4100000.0,9478
873,5450000.0,75775
874,6600000.0,47759
875,1800000.0,69407
876,1475000.0,59337
877,2750000.0,88635
878,3850000.0,28405
879,5500000.0,11600
880,7918900.0,85656
881,9500000.0,30247
882,3499000.0,89730
883,19950000.0,25983
884,6495000.0,15168
885,9400000.0,30600
886,16995000.0,46699
887,7715000.0,47458
888,2300000.0,56132
889,5000000.0,62770
890,7000000.0,61284
891,2841000.0,48042
892,11999000.0,28898
893,12900000.0,29490
894,3600000.0,47051
895,2427250.0,70372
896,21750000.0,11209
897,4595000.0,64436
898,18250000.0,97127
899,1300000.0,20008
900,7450000.0,70291
901,2990000.0,83029
902,3495000.0,47458
903,3725000.0,72817
904,6000000.0,69996
905,6500000.0,84875
906,1995000.0,24818
907,2850000.0,59080
908,6350000.0,28898
909,6750000.0,92606
910,2500000.0,93026
911,1599000.0,8931
912,9800000.0,17525
913,2700000.0,51057
914,2998000.0,72208
915,2300000.0,76658
916,4695000.0,94553
917,3500000.0,92549
918,3980000.0,37303
919,6500000.0,1525
920,5950000.0,97127
921,1495000.0,56132
922,4900000.0,48421
923,3300000.0,59818
924,79000000.0,91188
925,22950000.0,80270
926,17500000.0,9469
927,4831071.0,78025
928,8800000.0,66176
929,2250000.0,97173
930,5499000.0,9479
931,2013520.0,78885
932,5950000.0,27179
933,7950000.0,9504
934,6022900.0,97127
935,2160000.0,73076
936,5800000.0,9138
937,7900000.0,1026
938,5625000.0,78025
939,14900000.0,1439
940,12227560.0,76938
941,2295000.0,43660
942,13999995.0,24159
943,18000000.0,64599
944,5250000.0,16445
945,2350000.0,13603
946,1750000.0,60345
947,6250000.0,20415
948,2600000.0,96000
949,6950000.0,97217
950,1717000.0,30600
951,5450000.0,16074
952,3500000.0,98561
953,2995000.0,95589
954,6999000.0,69630
955,3150000.0,28898
956,3300000.0,47458
957,2000000.0,20441
958,12306468.0,83360
959,12000000.0,70487
960,7900000.0,47362
961,20000000.0,9479
962,5000000.0,31184
963,2250000.0,3242
964,5000000.0,27760
965,11500000.0,13961
966,2150000.0,71391
967,3995000.0,98951
968,10350000.0,25393
969,8995000.0,77620
970,5955000.0,1407
971,6300000.0,50148
972,2595000.0,27179
973,10750000.0,28897
974,3520000.0,47458
975,9700000.0,74179
976,8700000.0,9509
977,1750000.0,71117
978,5495000.0,9472
979,5900000.0,45675
980,12232645.0,46744
981,2250000.0,73751
982,2600000.0,43193
983,8995000.0,77513
984,4000000.0,6780
985,4395000.0,50803
986,4800000.0,59080
987,1995000.0,60463
988,3600000.0,97122
989,9800000.0,3242
990,1800000.0,90407
991,1800000.0,59069
992,6250000.0,85416
993,6950000.0,21309
994,1475000.0,7516
995,10868000.0,27264
996,5900000.0,78885
997,3250000.0,2105
998,15999000.0,40263
999,3225000.0,46699
